secCode,edinetCode,filerName,docID,docTypeCode,submitDateTime,periodStart,periodEnd,docDescription,DescriptionOfBusiness_file,DescriptionOfBusiness_length,BusinessRisks_file,BusinessRisks_length,BusinessPolicyEtc_file,BusinessPolicyEtc_length,EdinetInfo_file,EdinetInfo_length
13010,E00012,株式会社　極洋,S100R30D,120,2023-06-27 15:04:00,2022-04-01,2023-03-31,有価証券報告書－第100期(2022/04/01－2023/03/31),/1/13010/2023/DescriptionOfBusiness,495,/1/13010/2023/BusinessRisks,1833,/1/13010/2023/BusinessPolicyEtc,2309,/1/13010/2023/EdinetInfo,963
13320,E00014,株式会社ニッスイ,S100R66L,120,2023-06-28 13:42:00,2022-04-01,2023-03-31,有価証券報告書－第108期(2022/04/01－2023/03/31),/1/13320/2023/DescriptionOfBusiness,680,/1/13320/2023/BusinessRisks,10491,/1/13320/2023/BusinessPolicyEtc,2842,/1/13320/2023/EdinetInfo,969
13330,E00015,マルハニチロ株式会社,S100R5V0,120,2023-06-27 15:22:00,2022-04-01,2023-03-31,有価証券報告書－第79期(2022/04/01－2023/03/31),/1/13330/2023/DescriptionOfBusiness,1392,/1/13330/2023/BusinessRisks,2719,/1/13330/2023/BusinessPolicyEtc,3887,/1/13330/2023/EdinetInfo,980
13750,E00007,株式会社雪国まいたけ,S100R6N0,120,2023-06-28 15:30:00,2022-04-01,2023-03-31,有価証券報告書－第6期(2022/04/01－2023/03/31),/1/13750/2023/DescriptionOfBusiness,3813,/1/13750/2023/BusinessRisks,6941,/1/13750/2023/BusinessPolicyEtc,4468,/1/13750/2023/EdinetInfo,980
13760,E00004,カネコ種苗株式会社,S100RR2U,120,2023-08-28 13:28:00,2022-06-01,2023-05-31,有価証券報告書－第76期(2022/06/01－2023/05/31),/1/13760/2023/DescriptionOfBusiness,1410,/1/13760/2023/BusinessRisks,3607,/1/13760/2023/BusinessPolicyEtc,2331,/1/13760/2023/EdinetInfo,974
13770,E00006,株式会社　サカタのタネ,S100RR8S,120,2023-08-30 14:14:00,2022-06-01,2023-05-31,有価証券報告書－第82期(2022/06/01－2023/05/31),/1/13770/2023/DescriptionOfBusiness,1598,/1/13770/2023/BusinessRisks,2884,/1/13770/2023/BusinessPolicyEtc,1608,/1/13770/2023/EdinetInfo,986
13790,E00008,ホクト株式会社,S100R1XO,120,2023-06-23 15:35:00,2022-04-01,2023-03-31,有価証券報告書－第60期(2022/04/01－2023/03/31),/1/13790/2023/DescriptionOfBusiness,1604,/1/13790/2023/BusinessRisks,2561,/1/13790/2023/BusinessPolicyEtc,2546,/1/13790/2023/EdinetInfo,963
13800,E00344,株式会社秋川牧園,S100R5M9,120,2023-06-28 09:11:00,2022-04-01,2023-03-31,有価証券報告書－第44期(2022/04/01－2023/03/31),/1/13800/2023/DescriptionOfBusiness,640,/1/13800/2023/BusinessRisks,1067,/1/13800/2023/BusinessPolicyEtc,1572,/1/13800/2023/EdinetInfo,968
13810,E00009,株式会社アクシーズ,S100RVVU,120,2023-09-21 10:56:00,2022-07-01,2023-06-30,有価証券報告書－第61期(2022/07/01－2023/06/30),/1/13810/2023/DescriptionOfBusiness,1598,/1/13810/2023/BusinessRisks,3621,/1/13810/2023/BusinessPolicyEtc,1414,/1/13810/2023/EdinetInfo,974
13820,E00010,株式会社ホーブ,S100RXCU,120,2023-09-28 11:23:00,2022-07-01,2023-06-30,有価証券報告書－第37期(2022/07/01－2023/06/30),/1/13820/2023/DescriptionOfBusiness,6226,/1/13820/2023/BusinessRisks,6062,/1/13820/2023/BusinessPolicyEtc,3142,/1/13820/2023/EdinetInfo,962
13830,E25969,ベルグアース株式会社,S100Q1RC,120,2023-01-31 16:32:00,2021-11-01,2022-10-31,有価証券報告書－第22期(2021/11/01－2022/10/31),/1/13830/2023/DescriptionOfBusiness,7366,/1/13830/2023/BusinessRisks,4659,/1/13830/2023/BusinessPolicyEtc,1885,/1/13830/2023/EdinetInfo,980
13840,E31220,株式会社　ホクリヨウ,S100R75Z,120,2023-06-28 15:30:00,2022-04-01,2023-03-31,有価証券報告書－第75期(2022/04/01－2023/03/31),/1/13840/2023/DescriptionOfBusiness,3138,/1/13840/2023/BusinessRisks,4227,/1/13840/2023/BusinessPolicyEtc,2460,/1/13840/2023/EdinetInfo,981
14000,E05479,ルーデン・ホールディングス株式会社,S100QFMK,120,2023-03-23 14:22:00,2022-01-01,2022-12-31,有価証券報告書－第23期(2022/01/01－2022/12/31),/1/14000/2023/DescriptionOfBusiness,1057,/1/14000/2023/BusinessRisks,5477,/1/14000/2023/BusinessPolicyEtc,3157,/1/14000/2023/EdinetInfo,1022
14010,E00323,株式会社エムビーエス,S100RRRN,120,2023-08-30 14:21:00,2022-06-01,2023-05-31,有価証券報告書－第26期(2022/06/01－2023/05/31),/1/14010/2023/DescriptionOfBusiness,2098,/1/14010/2023/BusinessRisks,3950,/1/14010/2023/BusinessPolicyEtc,2277,/1/14010/2023/EdinetInfo,980
14070,E00327,株式会社ウエストホールディングス,S100SCQ8,120,2023-11-27 13:43:00,2022-09-01,2023-08-31,有価証券報告書－第18期(2022/09/01－2023/08/31),/1/14070/2023/DescriptionOfBusiness,736,/1/14070/2023/BusinessRisks,1667,/1/14070/2023/BusinessPolicyEtc,2668,/1/14070/2023/EdinetInfo,1016
14140,E00329,ショーボンドホールディングス株式会社,S100RX3W,120,2023-09-28 10:39:00,2022-07-01,2023-06-30,有価証券報告書－第16期(2022/07/01－2023/06/30),/1/14140/2023/DescriptionOfBusiness,665,/1/14140/2023/BusinessRisks,1945,/1/14140/2023/BusinessPolicyEtc,2317,/1/14140/2023/EdinetInfo,1028
14170,E24558,株式会社ミライト・ワン,S100R79T,120,2023-06-28 12:00:00,2022-04-01,2023-03-31,有価証券報告書－第13期(2022/04/01－2023/03/31),/1/14170/2023/DescriptionOfBusiness,650,/1/14170/2023/BusinessRisks,2892,/1/14170/2023/BusinessPolicyEtc,3260,/1/14170/2023/EdinetInfo,986
14180,E24512,インターライフホールディングス株式会社,S100QTYF,120,2023-05-26 12:09:00,2022-03-01,2023-02-28,有価証券報告書－第13期(2022/03/01－2023/02/28),/1/14180/2023/DescriptionOfBusiness,1319,/1/14180/2023/BusinessRisks,967,/1/14180/2023/BusinessPolicyEtc,2055,/1/14180/2023/EdinetInfo,1034
14190,E27305,タマホーム株式会社,S100RRLM,120,2023-08-29 15:02:00,2022-06-01,2023-05-31,有価証券報告書－第25期(2022/06/01－2023/05/31),/1/14190/2023/DescriptionOfBusiness,6054,/1/14190/2023/BusinessRisks,3016,/1/14190/2023/BusinessPolicyEtc,1197,/1/14190/2023/EdinetInfo,974
